n,z,excess
82,62,-81965.535
81,63,-75619.133
80,64,-71759.504
79,65,-62368.181
78,66,-56570.083
77,67,-44609.513
91,54,-51493.329
90,55,-60054.415
89,56,-67516.176
88,57,-72835.317
87,58,-77067.022
86,59,-79625.940
85,60,-81431.951
84,61,-81267.474
83,62,-80651.318
82,63,-77991.507
81,64,-72926.320
80,65,-66388.411
79,66,-58242.599
78,67,-49120.105
92,54,-47954.943
91,55,-55310.372
90,56,-64947.086
89,57,-69050.283
88,58,-75635.389
87,59,-76681.006
86,60,-80925.867
85,61,-79454.309
84,62,-80996.309
83,63,-77117.541
82,64,-76085.783
